"%1 update available","%1 update available"
"Activate","Activate"
"Activate License","Activate License"
"Can't connect to license server.","Can't connect to license server."
"Core","Core"
"Deactivate","Deactivate"
"Deactivate License","Deactivate License"
"Development license detected. Please do not use for production.","Development license detected. Please do not use for production."
"Information & Licenses","Information & Licenses"
"License successfully activated.","License successfully activated."
"License successfully deactivated!","License successfully deactivated!"
"License successfully verified!","License successfully verified!"
"MageMe Extensions","MageMe Extensions"
"Please activate your license for:","Please activate your license for:"
"Unexpected license server response.","Unexpected license server response."