"(Parent)","(הוֹרֶה)"
"Add Rule","הוסף כלל"
"Save and Continue Edit","שמור והמשך עריכה"
"Add A/B Testing","הוסף בדיקת A / B"
"Parent","הוֹרֶה"
"Edit Rule '%1'","ערוך כלל '%1'"
"New Rule","חוק חדש"
"Rule Information","מידע כללי"
"Actions","פעולות"
"Apply the rule only to block matching the following conditions (leave blank for all items).","החל את הכלל רק כדי לחסום התאמת התנאים הבאים (השאר ריק עבור כל הפריטים)."
"Apply To","החל על"
"Block Configuration","חסום את התצורה"
"Block name","שם החסימה"
"Enter the block's name. It's only visible in the frontend.","הזן את שם החסימה. זה גלוי רק ב frontend."
"Product layout","פריסת מוצר"
"Grid","רֶשֶׁת"
"Slider","מחוון"
"Select how products are displayed.","בחר כיצד יוצגו מוצרים."
"Limit number of products","הגבלת מספר המוצרים"
"Display ""Out-of-stock"" products","הצגת מוצרים ""מחוץ למלאי"""
"Yes","כן"
"No","לא"
"Product order","הזמנת מוצר"
"Display additional information","הצג מידע נוסף"
"Select information or button(s) to display with products.","בחר מידע או לחצנים להצגה עם מוצרים."
"Conditions","תנאים"
"Conditions (don't add conditions if rule is applied to all products)","תנאים (אל תוסיף תנאים אם הכלל מוחל על כל המוצרים)"
"Rule Name","שם החוק"
"Enter the rule's name here, it's only visible in the backend.","הזן את שם הכלל כאן, הוא גלוי רק ב- backend."
"Location","מקום"
"Select the position to display block.","בחר את המיקום להצגת בלוק."
"Status","סטָטוּס"
"Active","פָּעִיל"
"Inactive","לֹא פָּעִיל"
"Select Active to enable the rule.","בחר פעיל כדי להפעיל את הכלל."
"Store Views","תצוגות חנות"
"Customer Groups","קבוצות לקוחות"
"Select customer group(s) to display the block to","בחר קבוצות לקוחות להצגת החסימה"
"From","מ"
"Select the starting date when the rule is enabled.","בחר את תאריך ההתחלה כאשר הכלל מופעל."
"To","ל"
"Select the ending date when the rule is disabled.","בחר את תאריך הסיום כאשר הכלל מושבת."
"Priority","עדיפות"
"Enter a number to set priority for the rule. A lower number represents a higher priority.","הזן מספר כדי לקבוע עדיפות עבור הכלל. מספר נמוך יותר מייצג עדיפות גבוהה יותר."
"ID","תְעוּדַת זֶהוּת"
"Name","שֵׁם"
"Name in %1","שם ב %1"
"Type","סוּג"
"Attribute Set","הגדרת תכונות"
"SKU","SKU"
"Price","מחיר"
"Quantity","כַּמוּת"
"Visibility","רְאוּת"
"Variant","גִרְסָה אַחֶרֶת"
"Impression","רוֹשֶׁם"
"Click","נְקִישָׁה"
"CTR","שיעור הקליקים"
"Enabled","מופעל"
"Disabled","נָכֶה"
"There are no items.","אין פריטים."
"A/B Testing","A / B בדיקה"
"Related Block Rule","כלל בלוק הקשור"
"Promotions","קידומי מכירות"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","מצאנו כללים מעודכנים שאינם מוחלים. לחץ על ""החל כללים"" כדי לעדכן את הקטלוג שלך."
"An error occurred","התרחשה שגיאה"
"AutoRelated","AutoRelated"
"Manage Rules","ניהול כללים"
"You deleted the rule.","מחקת את הכלל."
"We can't delete this rule right now. Please review the log and try again.","לא ניתן למחוק כלל זה כרגע. עיין ביומן ונסה שוב."
"We can't find a rule to delete.","לא ניתן למצוא כלל למחיקה."
"Something went wrong.","משהו השתבש."
"This rule no longer exists.","כלל זה אינו קיים עוד."
"Can not Add A/B Testing.","לא ניתן להוסיף בדיקת A / B."
"Edit Rule","ערוך כלל"
"New Related Block Rule","חדש בלוק כלל בלוק"
"Related Block Rules","חוקי חסימה קשורים"
"The wrong rule is specified.","כלל לא נכון מוגדר."
"You saved the rule.","שמרת את הכלל."
"Something went wrong while saving the rule data. Please review the error log.","משהו השתבש בעת שמירת נתוני הכלל. עיין ביומן השגיאות."
"Add to cart button","הוסף לסל"
"Add to Wishlist","הוסף לרשימת משאלות"
"Add to Compare","הוסף להשוואה"
"Review information","עיין במידע"
"Bestsellers","רבי מכר"
"Lowest Price","המחיר הנמוך ביותר"
"Highest Price","המכיר הכי יקר"
"Newest","החדש ביותר"
"Random","אַקרַאִי"
"Subtotal","סיכום ביניים"
"Total Items Quantity","סה""כ כמות פריטים"
"Total Weight","משקל כולל"
"Quantity in cart","כמות בעגלה"
"Price in cart","מחיר בעגלה"
"Row total in cart","סך הכל בעגלה"
"Conditions Combination","תנאים שילוב"
"Cart Item Attribute","תכונה של פריט סל"
"Product Attribute","תכונת מוצר"
"FOUND","מצאתי"
"NOT FOUND","לא נמצא"
"If an item is %1 in the cart with %2 of these conditions true:","אם פריט הוא %1 בעגלה עם %2 תנאים אלה נכון:"
"total quantity","- סך הכל"
"total amount","הכמות הכוללת"
"is","J"
"is not","לא"
"equals or greater than","שווה או גדול מ"
"equals or less than","שווה או פחות מ"
"greater than","גדול מ"
"less than","פחות מ"
"is one of","אחד מ"
"is not one of","הוא לא אחד"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:"
"Product attribute combination","שילוב של תכונות מוצר"
"Products subselection","מוצרים subselection"
"Conditions combination","שילוב תנאים"
"Cart Attribute","תכונת העגלה"
"Replace native related product block","החלף את בלוק המוצרים המקורי"
"Before native related products","לפני מוצרים קשורים"
"After native related products","אחרי מוצרים הקשורים הילידים"
"Replace upsell product block","החלף את המוצר לחסום upell"
"Before upsell products","לפני מוצרים"
"After upsell products","אחרי מוצרים"
"Above Content","מעל תוכן"
"Below Content","מתחת לתוכן"
"Custom","המותאם אישית"
"Product Page","דף מוצר"
"Category Page","דף קטגוריה"
"Shopping Cart Page","עגלת קניות"
"Category","קטגוריה"
"PREVIEW PRODUCTS","מוצרים"
"Statistic","סטטיסטיקה"
"Total","סה""כ"
"Child","יֶלֶד"
"Add to Cart","הוסף לעגלה"
"In stock","במלאי"
"Out of stock","אזל במלאי"
"HIDE PRODUCTS","מוצרי הסתרה"
"Mageplaza AutoRelated","מגאפלאזה"
"Automatic Related Products","מוצרים קשורים"
"General Configuration","תצורה כללית"
"Enable Automatic Related Products","הפעל מוצרים נלווים אוטומטיים"
"Select Yes to enable this module.","בחר כן כדי להפעיל מודול זה."
"Start","הַתחָלָה"
"End","סוֹף"
