"(Parent)","(Родитељ)"
"Add Rule","Додај правило"
"Save and Continue Edit","Сачувај и настави уредити"
"Add A/B Testing","Додајте А / Б Тестирање"
"Parent","Родитељ"
"Edit Rule '%1'","Измените правило '%1'"
"New Rule","Ново правило"
"Rule Information","Информације о правилу"
"Actions","Акције"
"Apply the rule only to block matching the following conditions (leave blank for all items).","Примијените правило само да блокирате одговарајуће слиједеће услове (оставите празно за све ставке)."
"Apply To","Примењују на"
"Block Configuration","Конфигурација блока"
"Block name","Блокирано име"
"Enter the block's name. It's only visible in the frontend.","Унесите име блока. Видљиво је само на фронту."
"Product layout","Распоред производа"
"Grid","Грид"
"Slider","Клизач"
"Select how products are displayed.","Изаберите како се производи приказују."
"Limit number of products","Ограничити број производа"
"Display ""Out-of-stock"" products","Приказати производе ""Оут оф стоцк"""
"Yes","да"
"No","Не"
"Product order","Поруџбина производа"
"Display additional information","Приказ додатних информација"
"Select information or button(s) to display with products.","Изаберите информације или дугмад за приказивање са производима."
"Conditions","Услови"
"Conditions (don't add conditions if rule is applied to all products)","Услови (не додајте услове ако се правило примењује на све производе)"
"Rule Name","Име правила"
"Enter the rule's name here, it's only visible in the backend.","Овде унесите назив правила, видљиво је само у бази."
"Location","Локација"
"Select the position to display block.","Изаберите позицију за приказ блока."
"Status","Статус"
"Active","Активно"
"Inactive","Неактиван"
"Select Active to enable the rule.","Изаберите Активно да бисте омогућили правило."
"Store Views","Сторе Виевс"
"Customer Groups","Корисничке групе"
"Select customer group(s) to display the block to","Изаберите групу клијената за приказ блока"
"From","Од"
"Select the starting date when the rule is enabled.","Изаберите датум почетка када је правило омогућено."
"To","До"
"Select the ending date when the rule is disabled.","Изаберите крајњи датум када је правило онемогућено."
"Priority","Приоритет"
"Enter a number to set priority for the rule. A lower number represents a higher priority.","Унесите број за постављање приоритета за правило. Мањи број представља виши приоритет."
"ID","ИД"
"Name","Име"
"Name in %1","Име на %1"
"Type","Тип"
"Attribute Set","Сет атрибута"
"SKU","СКУ"
"Price","Цена"
"Quantity","Количина"
"Visibility","Видљивост"
"Variant","Варијанта"
"Impression","Утисак"
"Click","Кликните"
"CTR","ЦТР"
"Enabled","Омогућено"
"Disabled","Онемогућено"
"There are no items.","Нема артикала."
"A/B Testing","А / Б тестирање"
"Related Block Rule","Сродно Блоково правило"
"Promotions","Промоције"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Пронашли смо ажурирана правила која се не примјењују. Кликните на ""Примени правила"" да бисте ажурирали свој каталог."
"An error occurred","Дошло је до грешке"
"AutoRelated","АутоРелатед"
"Manage Rules","Управљајте правилима"
"You deleted the rule.","Избришете правило."
"We can't delete this rule right now. Please review the log and try again.","Тренутно не можемо обрисати ово правило. Прегледајте дневник и покушајте поново."
"We can't find a rule to delete.","Не можемо пронаћи правило за брисање."
"Something went wrong.","Нешто није у реду."
"This rule no longer exists.","Ово правило више не постоји."
"Can not Add A/B Testing.","Не могу додати А / Б тестирање."
"Edit Rule","Измени правило"
"New Related Block Rule","Ново сродно блока"
"Related Block Rules","Правила сродних блокова"
"The wrong rule is specified.","Погрешно правило је специфицирано."
"You saved the rule.","Спашили сте правило."
"Something went wrong while saving the rule data. Please review the error log.","Нешто је пошло наопако при чувању података о правилу. Прегледајте дневник грешака."
"Add to cart button","Додај у корпу дугме"
"Add to Wishlist","Додај у листу жеља"
"Add to Compare","Додај за упоређивање"
"Review information","Прегледајте информације"
"Bestsellers","Најбоље продавани"
"Lowest Price","Најнижа цена"
"Highest Price","Највиша цена"
"Newest","Најновије"
"Random","Рандом"
"Subtotal","Субтотал"
"Total Items Quantity","Укупна количина предмета"
"Total Weight","Укупна маса"
"Quantity in cart","Количина у корпи"
"Price in cart","Цена у корпи"
"Row total in cart","Рута укупно у корпи"
"Conditions Combination","Услови Комбинација"
"Cart Item Attribute","Атрибут артикала на корпи"
"Product Attribute","Атрибут производа"
"FOUND","НАШАО"
"NOT FOUND","НИЈЕ ПРОНАЂЕН"
"If an item is %1 in the cart with %2 of these conditions true:","Ако је артикал %1 у корпи са %2 од ових услова тачно:"
"total quantity","Укупна количина"
"total amount","Укупан износ"
"is","је"
"is not","није"
"equals or greater than","једнака или већа од"
"equals or less than","једнак или мањи од"
"greater than","веће од"
"less than","мање од"
"is one of","је један од"
"is not one of","није један од"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","Ако %1 %2 %3 за подизбор предмета у колицима који одговарају %4 од ових услова:"
"Product attribute combination","Комбинација атрибута производа"
"Products subselection","Избор производа"
"Conditions combination","Услови комбинације"
"Cart Attribute","Атрибут корпе"
"Replace native related product block","Замените изворни блок производа"
"Before native related products","Пре природних сродних производа"
"After native related products","После природних сродних производа"
"Replace upsell product block","Замените упселл производни блок"
"Before upsell products","Пре упселл производа"
"After upsell products","Након упселл производа"
"Above Content","Изнад садржаја"
"Below Content","Испод садржаја"
"Custom","Обичај"
"Product Page","Продуцт Паге"
"Category Page","Категорија страница"
"Shopping Cart Page","Кошарица Паге"
"Category","Категорија"
"PREVIEW PRODUCTS","ПРЕГЛЕД ПРОИЗВОДА"
"Statistic","Статистика"
"Total","Укупно"
"Child","Дете"
"Add to Cart","Додај у колица"
"In stock","На лагеру"
"Out of stock","Нема на залихи"
"HIDE PRODUCTS","ХИДЕ ПРОДУЦТС"
"Mageplaza AutoRelated","Магеплаза АутоРелатед"
"Automatic Related Products","Аутоматски повезани производи"
"General Configuration","Општа конфигурација"
"Enable Automatic Related Products","Омогућите аутоматске повезане производе"
"Select Yes to enable this module.","Изаберите Да да бисте омогућили овај модул."
"Start","Почетак"
"End","Крај"
