"(Parent)","(Aile)"
"Add Rule","Kural Ekle"
"Save and Continue Edit","Kaydet ve Düzenlemeye Devam Et"
"Add A/B Testing","A/B testi ekle"
"Parent","Ana"
"Edit Rule '%1'","'%1' Kuralını düzenle"
"New Rule","Yeni kural"
"Rule Information","Kural bilgileri"
"Actions","Eylemler"
"Apply the rule only to block matching the following conditions (leave blank for all items).","Kuralları yalnızca aşağıdaki koşulların eşleştirilmesini engellemek için uygulayın (tüm öğeler için boş bırakın)."
"Apply To","Uygula"
"Block Configuration","Blok yapılandırması"
"Block name","Blok adı"
"Enter the block's name. It's only visible in the frontend.","Blok adı girin. Yalnızca ön uçta görünür."
"Product layout","Ürün yerleşimi"
"Grid","Kılavuz"
"Slider","Kaydırıcı"
"Select how products are displayed.","Ürünlerin nasıl görüntüleneceğini seçin."
"Limit number of products","Ürünlerin sayısını limitle"
"Display ""Out-of-stock"" products","""Stokta olmayan"" ürünleri göster"
"Yes","Evet"
"No","Hayır"
"Product order","Ürün siparişi"
"Display additional information","Ek bilgileri görüntüle"
"Select information or button(s) to display with products.","Ürünlerle birlikte görüntülenecek bilgileri veya düğme(ler) i seçin."
"Conditions","Şartlar"
"Conditions (don't add conditions if rule is applied to all products)","Koşullar ( Eğer kural bütün ürünler için uygulanıyorsa koşul ekleme)"
"Rule Name","Kural İsmi"
"Enter the rule's name here, it's only visible in the backend.","Buraya kuralın ismini girin, sadece arka uç içinde görünür."
"Location","Konum"
"Select the position to display block.","Bloğun görüntüleneceği konumu seçin."
"Status","Durum"
"Active","Aktif"
"Inactive","Aktif Değil"
"Select Active to enable the rule.","Kuralı etkinleştirmek için Aktifi seçin."
"Store Views","Mağaza Görünümleri"
"Customer Groups","Müşteri Grupları"
"Select customer group(s) to display the block to","Bloğu görüntülemek istediğiniz müşteri grup(lar) ı seçin"
"From","Gönderen"
"Select the starting date when the rule is enabled.","Kural etkinleştirildiği zaman başlangıç tarihini seçin."
"To","Alıcı"
"Select the ending date when the rule is disabled.","Kural devredışı bırakıldığında bitiş tarihi seçin."
"Priority","Öncelik"
"Enter a number to set priority for the rule. A lower number represents a higher priority.","Kural önceliğinin ayarlamak için bir sayı girin. Daha düşük bir sayı daha yüksek bir önceliğe işaret eder."
"ID","ID"
"Name","İsim"
"Name in %1","%1'de isim"
"Type","Tip"
"Attribute Set","Özellik Seti"
"SKU","SKU"
"Price","Fiyat"
"Quantity","Miktar"
"Visibility","Görünürlük"
"Variant","Değişken"
"Impression","İzlenimler"
"Click","Tıkla"
"CTR","CTR"
"Enabled","Etkin"
"Disabled","Devre dışı"
"There are no items.","Hiç öğe yok."
"A/B Testing","A/B Testi"
"Related Block Rule","İlgili Blok Kuralı"
"Promotions","Tanıtımlar"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Uygulanmayan güncellenmiş kurallar bulduk. Lütfen katalogunuzu güncellemek için ""Kuralları Uygula""yı tıklayın."
"An error occurred","Bir hata oluştu"
"AutoRelated","AutoRelated"
"Manage Rules","Kuralları Yönet"
"You deleted the rule.","Kuralı sildin."
"We can't delete this rule right now. Please review the log and try again.","Bu kuralı şuan silemiyoruz. Lütfen günlüğü gözden geçirin ve tekrar deneyin."
"We can't find a rule to delete.","Silmek için bir kural bulamıyoruz."
"Something went wrong.","Bir şeyler ters gitti."
"This rule no longer exists.","Bu kural artık yok."
"Can not Add A/B Testing.","A/B Testi eklenemiyor."
"Edit Rule","Kuralı Düzenle"
"New Related Block Rule","Yeni İlgili Blok Kuralı"
"Related Block Rules","İlgili Blok Kuralları"
"The wrong rule is specified.","Yanlış kural belirtildi."
"You saved the rule.","Kuralı kurtardın."
"Something went wrong while saving the rule data. Please review the error log.","Kural verilerinin kaydedilmesi sırasında bir sorun oluştu. Lütfen hata günlüğünü gözden geçirin."
"Add to cart button","Sepete ekle butonu"
"Add to Wishlist","İstek listesine ekle"
"Add to Compare","Karşılaştırma listesine ekle"
"Review information","İnceleme bilgileri"
"Bestsellers","En çok satanlar"
"Lowest Price","En düşük fiyat"
"Highest Price","En yüksek fiyat"
"Newest","En yeni"
"Random","Rastgele"
"Subtotal","Ara toplam"
"Total Items Quantity","Toplam madde miktarı"
"Total Weight","Toplam ağırlık"
"Quantity in cart","Sepetinizdeki ürün miktarı"
"Price in cart","Sepetinizdeki fiyat"
"Row total in cart","Sepetteki toplam satır"
"Conditions Combination","Koşulların Kombinasyonu"
"Cart Item Attribute","Sepet öğesi özelliği"
"Product Attribute","Ürün Özniteliği"
"FOUND","BULUNDU"
"NOT FOUND","BULUNAMADI"
"If an item is %1 in the cart with %2 of these conditions true:","If an item is %1 in the cart with %2 of these conditions true:"
"total quantity","toplam miktar"
"total amount","toplam tutar"
"is","dir"
"is not","değildir"
"equals or greater than","eşittir veya daha büyüktür"
"equals or less than","eşittir veya daha küçüktür"
"greater than","daha büyük"
"less than","daha küçük"
"is one of","bunlardan biridir"
"is not one of","onlardan biri değildir"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","Bu koşulların%4'ü ile eşleşen öğelerin alt seçimi için %1%2%3:"
"Product attribute combination","Ürün özellik kombinasyonu"
"Products subselection","Ürünlerin alt seçimi"
"Conditions combination","Koşul kombinasyonları"
"Cart Attribute","Sepet Özniteliği"
"Replace native related product block","Yerel ilgili ürün bloğunu değiştirin"
"Before native related products","Yerel ilişkili ürünlerden önce"
"After native related products","Yerel ilişkili ürünlerden sonra"
"Replace upsell product block","Yükseltilmiş ürün bloğunu değiştirin"
"Before upsell products","Pahalı olanı ikna ürünlerinden önce"
"After upsell products","Pahalı olanı ikna ürünlerinden sonra"
"Above Content","Yukarıdaki İçerik"
"Below Content","Aşağıdaki İçerik"
"Custom","Özel"
"Product Page","Ürün Sayfası"
"Category Page","Kategori Sayfası"
"Shopping Cart Page","Alışveri sepeti sayfası"
"Category","Kategori"
"PREVIEW PRODUCTS","ÜRÜNLERİ ÖNİZLEME"
"Statistic","İstatistik"
"Total","Toplam"
"Child","Ürün"
"Add to Cart","Sepete ekle"
"In stock","Stokta var"
"Out of stock","Stokta yok"
"HIDE PRODUCTS","ÜRÜNLERİ GİZLE"
"Mageplaza AutoRelated","Mageplaza AutoRelated"
"Automatic Related Products","Otomatik İlişkili Ürünler"
"General Configuration","Genel Yapılandırma"
"Enable Automatic Related Products","Otomatik İlişkili Ürünleri etkinleştir"
"Select Yes to enable this module.","Bu modülü etkinleştirmek için Eveti seçin."
"Start","Başlat"
"End","Bitir"
